LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID152642,152642,0,2724.85107421875,905.0724146719745,487.25884047629717,0.0,0.0,0,7.5,1,,326.04761904761904,54.0,29.0,3730.0,6847.0,824.0991127401167,407.23809523809524,0.0,0.0,4095.0,8552.0,984.8223649350122,2319.095238095238,2451.0,832.0,2530.0,48701.0,368.98332005144954,0.7788458415873738,0.3464533577916158,0.9415954820217385,0.40107547239157215,-0.027535942492012813,-0.35593298178091326
ID155264,155264,0,2767.73876953125,904.2208339253206,487.36184573349647,0.0,5.358963847160339,13,7.5,1,,357.6666666666667,65.0,28.0,3788.0,7511.0,844.9763507538737,429.0952380952381,0.0,0.0,4095.0,9011.0,1005.7207318516361,2318.285714285714,2445.0,815.0,2530.0,48684.0,372.31668547852416,0.7035126017066878,0.3496153074616833,0.9264049597819405,0.41035485088644147,-0.027200383652794258,-0.3482058747279414
ID156416,156416,0,2625.38671875,905.0495682741044,487.5664226916982,0.0,8.24455976486206,20,7.5,1,,312.57142857142856,46.0,27.0,3583.0,6564.0,782.4889501730086,361.85714285714283,0.0,0.0,4095.0,7599.0,954.639528079279,2320.5714285714284,2451.0,840.0,2535.0,48732.0,367.82721098751944,0.7962031811185223,0.354135534816018,1.0,0.37905107866756177,-0.026678850158035873,-0.34585338418206973
ID158080,158080,0,2778.908447265625,904.6175699773398,487.30949114739957,0.0,11.542383670806885,28,7.5,1,,348.9047619047619,36.0,30.0,4087.0,7327.0,890.7243066607033,414.76190476190476,0.0,0.0,4095.0,8710.0,996.2362623776504,2316.809523809524,2452.0,834.0,2528.0,48653.0,369.80881804624653,0.7844617632732586,0.3443960184627107,0.9623194119800613,0.40833448290342533,-0.02745301853272394,-0.35368983286726785
ID158726,158726,0,2927.545654296875,905.4760720510924,487.42454446387063,0.0,11.130155682563782,27,7.5,1,,333.8095238095238,44.0,32.0,3429.0,7010.0,774.9375212910792,464.0,0.0,0.0,4095.0,9744.0,1068.185938870195,2316.0476190476193,2429.0,803.0,2524.0,48637.0,374.5224260562345,0.78156172564966,0.3779413750582113,0.8103532362572284,0.3888769192957288,-0.028964167885361162,-0.36891426802282007
ID154820,154820,0,2617.0927734375,904.2334122172899,487.12385504768145,0.0,4.12227988243103,10,7.5,1,,354.57142857142856,56.0,30.0,3973.0,7446.0,874.3408129230027,384.4761904761905,0.0,0.0,4095.0,8074.0,965.1985090667939,2317.6666666666665,2457.0,849.0,2530.0,48671.0,365.67134606547086,0.8042707860063607,0.3615376729359885,0.9352828379674019,0.3850182569991214,-0.027661726329458496,-0.3606217688039398
ID159946,159946,0,2744.75,904.392501338704,487.334276388079,0.0,15.664663553237915,38,7.5,1,,330.4761904761905,76.0,28.0,3691.0,6940.0,804.5957754703675,405.6190476190476,0.0,0.0,4095.0,8518.0,1032.1903156003004,2315.8571428571427,2441.0,834.0,2526.0,48633.0,366.5329842884929,0.7724428553186055,0.3580028976404035,0.9821979172726742,0.3894399941569006,-0.027884384744543113,-0.36246981459265654
ID159176,159176,0,2805.5380859375,904.7262616437878,487.5064506846214,0.0,13.6035236120224,33,7.5,1,,339.76190476190476,36.0,31.0,3512.0,7135.0,777.8867465615998,419.9047619047619,0.0,0.0,4095.0,8818.0,1000.5007198778972,2322.2380952380954,2457.0,838.0,2530.0,48767.0,366.2434852337861,0.8121785510191123,0.3915063733811826,0.9843042389806195,0.4163748461711991,-0.025999251029833952,-0.33850756525280445
ID156489,156489,0,2618.96044921875,905.1754261139072,487.3130037246391,0.0,9.48124372959137,23,7.5,1,,372.4761904761905,53.0,31.0,4094.0,7822.0,906.2940261883899,366.57142857142856,0.0,0.0,4095.0,7698.0,958.0355719611131,2317.0,2450.0,838.0,2530.0,48657.0,367.88313361718554,0.7967152865510507,0.3644880400708582,0.9666602797470779,0.37614171477942765,-0.027630602747322774,-0.3579358752706358
ID155918,155918,0,2631.47216796875,904.3780210707777,487.15830250074475,0.0,6.595647811889648,16,7.5,1,,332.3333333333333,50.0,27.0,4095.0,6979.0,885.8976426954376,364.95238095238096,0.0,0.0,4095.0,7664.0,961.1516777382474,2319.0,2444.0,811.0,2530.0,48699.0,373.9298062471084,0.7769573520050922,0.32805036791249187,0.9804257243451017,0.37595027555436894,-0.027571024216374883,-0.3516702809005264
ID158223,158223,0,2793.19140625,904.6512725639541,487.2231054969035,0.0,12.36683964729309,30,7.5,1,,295.0952380952381,34.0,30.0,3209.0,6197.0,705.7778619907191,417.9047619047619,0.0,0.0,4095.0,8776.0,1009.6160609242459,2321.095238095238,2459.0,787.0,2507.0,48743.0,379.5178394702816,0.7951261903899771,0.3703951069382001,0.9872625888080613,0.4112713798313337,-0.02655150032452945,-0.33363134601466526
ID153548,153548,0,2717.0302734375,904.5475904573098,487.0444635278791,0.0,2.473367929458618,6,7.5,1,,357.6666666666667,35.0,29.0,3940.0,7511.0,874.3627012477908,406.0952380952381,0.0,0.0,4095.0,8528.0,968.0109970843257,2317.6666666666665,2456.0,861.0,2543.0,48671.0,362.9189073792288,0.8087354384275007,0.36580384506199937,0.9803198746045108,0.4153460291469183,-0.027355683842135915,-0.3592236308669908
ID156562,156562,0,2847.73876953125,904.3900168565343,487.53290686190377,0.0,7.0078758001327515,17,7.5,1,,333.0952380952381,56.0,29.0,3508.0,6995.0,785.178444989539,439.3809523809524,0.0,0.0,4095.0,9227.0,1004.930518801697,2319.2380952380954,2454.0,867.0,2523.0,48704.0,360.1177452947722,0.7886594642971299,0.37410361569720463,1.0,0.4372252052857154,-0.02735950792826614,-0.36231535985373303
ID157458,157458,0,2554.60986328125,904.6853035251289,487.2679246247764,0.0,10.717927694320679,26,7.5,1,,358.04761904761904,55.0,30.0,4095.0,7519.0,906.2256604284871,349.95238095238096,0.0,0.0,4095.0,7349.0,924.4447239392131,2315.809523809524,2451.0,811.0,2527.0,48632.0,373.73809265950126,0.7871531285281358,0.348042188251026,0.9734156820622986,0.37345455742013234,-0.027128943123991955,-0.34557559007620336
